monthofyear,year,tractce10,total,econ_crime,violent_crime,drug_crime
12,2005,838800,22,21,1,7
1,2006,838800,19,16,3,6
2,2006,838800,18,16,2,5
3,2006,838800,24,21,3,11
4,2006,838800,20,15,5,9
5,2006,838800,19,14,5,10
6,2006,838800,18,17,1,11
7,2006,838800,22,14,8,6
8,2006,838800,27,18,9,4
9,2006,838800,27,24,3,5
10,2006,838800,22,15,7,5
11,2006,838800,14,10,4,9
12,2006,838800,22,22,0,8
1,2007,838800,15,14,1,5
2,2007,838800,11,10,1,7
3,2007,838800,29,18,11,9
4,2007,838800,19,17,2,11
5,2007,838800,16,13,3,6
6,2007,838800,20,16,4,4
7,2007,838800,23,18,5,4
8,2007,838800,29,26,3,10
9,2007,838800,20,19,1,4
10,2007,838800,26,16,10,14
11,2007,838800,23,19,4,6
12,2007,838800,14,12,2,6
1,2008,838800,25,23,2,6
2,2008,838800,22,19,3,5
3,2008,838800,17,15,2,5
4,2008,838800,19,17,2,4
5,2008,838800,20,18,2,2
6,2008,838800,25,21,4,3
7,2008,838800,42,35,7,4
8,2008,838800,33,24,9,8
9,2008,838800,22,18,4,5
10,2008,838800,20,16,4,6
11,2008,838800,17,14,3,2
12,2008,838800,15,11,4,6
1,2009,838800,15,14,1,0
2,2009,838800,16,12,4,5
3,2009,838800,27,23,4,16
4,2009,838800,29,21,8,7
5,2009,838800,36,30,6,7
6,2009,838800,34,28,6,2
7,2009,838800,38,35,3,4
8,2009,838800,34,28,6,10
